id;total_amount;status;payment_method;shipping_address
1;18049.68;enchanting helpfully whereas;amidst excepting;but but midwife
2;194.03;bah lend before;low;brr unlike hamburger
3;29289.11;gadzooks;however;poorly
4;32220.51;bank morning;super sans;nor
5;14474.06;gosh ha;deficient;focalise
6;9698.62;unaccountably scholarship;yippee whose;neaten menacing fantastic
7;11190.49;given nor because;hidden;while mmm
8;20531.68;rarely rubric congregate;jovially beneath;able pish
9;8259.29;pixellate brr;curly;commodity relative fairly
10;30687.16;drain times;between soap vaguely;jaywalk energetically fooey
